id,latitude_deg,longitude_deg
0ID1,42.64120102,-114.6050034
0ID2,44.44290161,-113.7730026
0ID3,43.07580185,-115.6729965
0ID4,43.04769897,-114.4700012
0ID5,43.05310059,-116.461998
0ID6,45.1739006,-113.8909988
0ID7,43.230308,-116.763192
0ID8,45.775197,-116.178475
0II0,40.25999832,-85.25330353
0II1,40.42810059,-86.15329742
0II2,41.45729828,-86.12439728
0II3,40.62779999,-86.03780365
0II5,40.65950012,-86.85720062
0II6,41.64310074,-85.82969666
0II7,39.79560089,-85.78610229
0II8,41.32479858,-87.47589874
0II9,39.53419876,-86.57720184
0IL0,38.08670044,-88.53890228
0IL1,41.86090088,-87.83640289
0IL2,38.803056,-88.997778
0IL3,40.1570015,-87.67449951
0IL4,41.81890106,-88.00779724
0IL6,41.96310043,-88.71730042
0IL8,41.87250137,-88.72370148
0IL9,41.85480118,-88.78730011
0IN1,38.5,-87.59590149
0IN2,40.82780075,-85.08609772
0IN3,41.11669922,-86.66670227
0IN4,41.12779999,-84.94719696
0IN5,38.32899857,-86.03359985
0IN7,39.92250061,-86.22609711
0IN8,39.83729935,-86.11859894
0IN9,37.99309921,-87.95140076
0IS0,41.48109818,-90.5714035
0IS2,42.0931015,-87.8526001
0IS3,41.66080093,-89.69360352
0IS4,39.76250076,-88.67150116
0IS6,37.36560059,-89.16359711
0IS8,39.93640137,-91.39900208
0IS9,41.70840073,-89.20290375
0J0,31.60020065,-85.23880005
0J8,29.61800003,-82.50869751
0K6,36.178496,-95.580468
0KS0,38.63330078,-95.9253006
0KS2,38.56000137,-95.30909729
0KS3,38.56669998,-95.36689758
0KS4,38.807239,-95.370056
0KS6,37.45220184,-97.31780243
0KS7,37.69279861,-97.88639832
0KS8,37.38249969,-95.37470245
0KS9,37.51589966,-96.9197998
0KY0,38.62279892,-84.77890015
0KY1,36.7655983,-86.61830139
0KY2,37.50559998,-86.83750153
0KY3,38.56140137,-83.95279694
0KY4,37.56439972,-87.08190155
0KY5,36.8125,-86.375
0KY6,38.2682991,-82.57749939
0KY7,36.63610077,-88.99859619
0KY8,37.11719894,-83.73609924
0KY9,37.11360168,-82.8035965
0L4,37.4858017,-117.1910019
0L5,37.7179985,-117.237999
0L6,31.92320061,-92.64569855
0LA0,30.00849915,-93.40019989
0LA1,30.22940063,-90.9733963
0LA2,30.27799988,-90.96320343
0LA3,32.7492981,-93.87349701
0LA4,32.86410141,-93.98899841
0LA5,29.25799942,-89.96369934
0LA6,29.25860023,-89.959198
0LA7,29.25580025,-89.96759796
0LA8,32.25170135,-92.71279907
0LA9,30.5862999,-90.8615036
0LL0,42.26470184,-88.73000336
0LL1,39.09420013,-90.31340027
0LL2,40.73889923,-90.38069916
0LL3,39.05500031,-90.34210205
0LL4,41.4192009,-89.12310028
0LL5,40.11000061,-88.07839966
0LL6,41.69839859,-88.60759735
0LL7,41.65000153,-88.61669922
0LL9,42.1833992,-90.25569916
0LS0,29.74970055,-90.7358017
0LS2,29.11639977,-90.20220184
0LS3,29.29669952,-89.37439728
0LS4,30.80870056,-92.18800354
0LS5,30.30690002,-92.12979889
0LS6,30.78770065,-92.05039978
0LS7,30.6128006,-91.48419952
0LS8,30.28580093,-92.94129944
0LS9,32.50429916,-91.98210144
0MA1,42.36370087,-71.06890106
0MA2,42.54090118,-71.76280212
0MA3,41.78739929,-71.23179626
0MA4,42.33359909,-71.07170105
0MA5,42.05590057,-71.05590057
